community_code,period_code,mean_resp
VR-N-D03-C01,2024Q2,19.76
VR-N-D03-C01,2024Q3,33.78
VR-N-D03-C01,2024Q4,38.6
VR-N-D03-C02,2024Q1,25.44
VR-N-D03-C02,2024Q2,44.37
VR-N-D03-C02,2024Q3,23.89
VR-N-D03-C02,2024Q4,29.17
VR-N-D03-C03,2024Q1,27.83
VR-N-D03-C03,2024Q2,41.75
VR-N-D03-C03,2024Q3,35.2
VR-N-D03-C03,2024Q4,14.33
VR-N-D04-C01,2024Q1,31.54
VR-N-D04-C01,2024Q2,17.08
VR-N-D04-C01,2024Q3,43.14
VR-N-D04-C01,2024Q4,9.2
VR-N-D04-C02,2024Q1,31.88
VR-N-D04-C02,2024Q2,25.96
VR-N-D04-C02,2024Q3,12.52
VR-N-D04-C02,2024Q4,28.23
VR-N-D04-C03,2024Q2,31.32
VR-N-D04-C03,2024Q3,8.99
VR-N-D04-C03,2024Q4,40.58
VR-S-D01-C01,2024Q1,27.46
VR-S-D01-C01,2024Q2,23.54
VR-S-D01-C01,2024Q4,8.69
VR-S-D01-C02,2024Q1,20.81
VR-S-D01-C02,2024Q2,11.25
VR-S-D01-C02,2024Q3,39.37
VR-S-D01-C02,2024Q4,39.37
VR-S-D01-C03,2024Q1,18.44
VR-S-D01-C03,2024Q2,35.4
VR-S-D01-C03,2024Q3,25.81
VR-S-D01-C03,2024Q4,11.06
VR-S-D02-C01,2024Q1,19.14
VR-S-D02-C01,2024Q2,7.88
VR-S-D02-C01,2024Q3,41.67
VR-S-D02-C01,2024Q4,37.16
VR-S-D02-C02,2024Q1,12.72
VR-S-D02-C02,2024Q2,13.3
VR-S-D02-C02,2024Q3,43.96
VR-S-D02-C02,2024Q4,33.55
VR-S-D02-C03,2024Q1,31.42
VR-S-D02-C03,2024Q2,11.17
VR-S-D02-C03,2024Q3,10.47
VR-S-D02-C03,2024Q4,13.97
VR-S-D03-C01,2024Q1,19.51
VR-S-D03-C01,2024Q2,19.51
VR-S-D03-C01,2024Q3,17.48
VR-S-D03-C01,2024Q4,43.07
VR-S-D03-C02,2024Q1,12.62
VR-S-D03-C02,2024Q2,29.97
VR-S-D03-C02,2024Q3,19.72
VR-S-D03-C02,2024Q4,8.68
VR-S-D03-C03,2024Q1,33.09
VR-S-D03-C03,2024Q2,32.32
VR-S-D03-C03,2024Q3,29.47
VR-S-D03-C03,2024Q4,28.7
VR-S-D04-C01,2024Q1,8.94
VR-S-D04-C01,2024Q2,18.76
VR-S-D04-C01,2024Q3,27.7
VR-S-D04-C01,2024Q4,44.27
VR-S-D04-C02,2024Q1,14.0
VR-S-D04-C02,2024Q2,11.9
VR-S-D04-C02,2024Q3,11.9
VR-S-D04-C02,2024Q4,31.49
VR-S-D04-C03,2024Q1,12.16
VR-S-D04-C03,2024Q2,44.49
VR-S-D04-C03,2024Q3,9.48
