community_code,district_code,period_code,score,risk_band,pm25_component,respiratory_component
VR-S-D01-C01,VR-S-D01,2024Q1,0.4703,moderate,0.45575221238938046,0.5500146670577882
VR-S-D01-C02,VR-S-D01,2024Q1,0.2232,low,0.1327433628318584,0.35494279847462595
VR-S-D01-C03,VR-S-D01,2024Q1,0.2011,low,0.3407079646017699,0.2854209445585216
VR-S-D02-C01,VR-S-D02,2024Q1,0.2161,low,0.26991150442477874,0.30595482546201236
VR-S-D02-C02,VR-S-D02,2024Q1,0.1646,low,0.07079646017699114,0.11762980346142564
VR-S-D02-C03,VR-S-D02,2024Q1,0.4168,moderate,0.45575221238938046,0.6661777647403931
VR-S-D03-C01,VR-S-D03,2024Q1,0.3451,low,0.45575221238938046,0.3168084482252861
VR-S-D03-C02,VR-S-D03,2024Q1,0.3524,moderate,0.46681415929203535,0.11469639190378407
VR-S-D03-C03,VR-S-D03,2024Q1,0.2974,low,0.1792035398230088,0.7151657377530068
VR-S-D04-C01,VR-S-D04,2024Q1,0.3102,low,0.6128318584070795,0.0067468465825754964
VR-S-D04-C02,VR-S-D04,2024Q1,0.2586,low,0.5243362831858407,0.1551774713992373
VR-S-D04-C03,VR-S-D04,2024Q1,0.3347,low,0.8429203539823007,0.10120269873863302
VR-N-D01-C01,VR-N-D01,2024Q2,0.7589,very_high,0.931350114416476,0.8317399617590822
VR-N-D01-C02,VR-N-D01,2024Q2,0.5398,moderate,1.0,0.10543567331330239
VR-N-D01-C03,VR-N-D01,2024Q2,0.4682,moderate,0.631578947368421,0.4567058180824912
VR-N-D02-C01,VR-N-D02,2024Q2,0.5891,high,0.8764302059496566,0.7861240098333788
VR-N-D02-C02,VR-N-D02,2024Q2,0.284,low,0.36613272311212813,0.7107347719202404
VR-N-D02-C03,VR-N-D02,2024Q2,0.3969,moderate,0.6361556064073225,0.20950559956296097
VR-N-D03-C01,VR-N-D03,2024Q2,0.3655,moderate,0.5469107551487413,0.3245015023217701
VR-N-D03-C02,VR-N-D03,2024Q2,0.4502,moderate,0.39588100686498845,0.9967222070472547
VR-N-D03-C03,VR-N-D03,2024Q2,0.4327,moderate,0.23340961098398166,0.925157060912319
VR-N-D04-C01,VR-N-D04,2024Q2,0.2721,low,0.1739130434782609,0.2512974597104616
VR-N-D04-C02,VR-N-D04,2024Q2,0.4874,moderate,0.37986270022883295,0.4938541382136029
VR-N-D04-C03,VR-N-D04,2024Q2,0.5251,moderate,0.9107551487414186,0.6402622234362196
VR-C-D01-C01,VR-C-D01,2024Q2,0.2909,low,0.1350114416475972,0.9453701174542475
VR-C-D01-C02,VR-C-D01,2024Q2,0.4506,moderate,0.29977116704805495,0.7719202403714832
VR-C-D01-C03,VR-C-D01,2024Q2,0.2714,low,0.03203661327231118,0.36110352362742426
VR-C-D02-C01,VR-C-D02,2024Q2,0.38,moderate,0.37986270022883295,0.2097787489756897
VR-C-D02-C02,VR-C-D02,2024Q2,0.3923,moderate,0.20137299771167047,0.5722480196667578
VR-C-D02-C03,VR-C-D02,2024Q2,0.3102,low,0.3203661327231121,0.1021578803605572
VR-C-D03-C01,VR-C-D03,2024Q2,0.4187,moderate,0.49199084668192217,0.4485113357006283
VR-C-D03-C02,VR-C-D03,2024Q2,0.3168,low,0.3478260869565217,0.11936629336246928
VR-C-D03-C03,VR-C-D03,2024Q2,0.5008,moderate,0.37986270022883295,0.6599289811526905
VR-C-D04-C01,VR-C-D04,2024Q2,0.4487,moderate,0.9496567505720823,0.3996175908221798
VR-C-D04-C02,VR-C-D04,2024Q2,0.5007,moderate,0.736842105263158,0.7142857142857143
VR-C-D04-C03,VR-C-D04,2024Q2,0.5031,moderate,0.37986270022883295,0.6845124282982792
VR-S-D01-C01,VR-S-D01,2024Q2,0.3175,low,0.24485125858123566,0.4277519803332423
VR-S-D01-C02,VR-S-D01,2024Q2,0.1007,low,0.0,0.09205135208959302
VR-S-D01-C03,VR-S-D01,2024Q2,0.3463,low,0.37986270022883295,0.7517071838295548
VR-S-D02-C01,VR-S-D02,2024Q2,0.2143,low,0.32951945080091527,0.0
VR-S-D02-C02,VR-S-D02,2024Q2,0.1568,low,0.18306636155606407,0.14804698169898936
VR-S-D02-C03,VR-S-D02,2024Q2,0.347,low,0.528604118993135,0.08986615678776291
VR-S-D03-C01,VR-S-D03,2024Q2,0.3689,moderate,0.37986270022883295,0.317672767003551
VR-S-D03-C02,VR-S-D03,2024Q2,0.3411,low,0.37986270022883295,0.6033870527178367
VR-S-D03-C03,VR-S-D03,2024Q2,0.3416,low,0.30892448512585813,0.6675771647090959
VR-S-D04-C01,VR-S-D04,2024Q2,0.309,low,0.37986270022883295,0.2971865610488938
VR-S-D04-C02,VR-S-D04,2024Q2,0.2802,low,0.4530892448512585,0.1098060639169626
VR-S-D04-C03,VR-S-D04,2024Q2,0.5715,high,0.8398169336384439,1.0
VR-N-D01-C01,VR-N-D01,2024Q3,0.627,high,0.9649595687331537,0.3610016882386044
VR-N-D01-C02,VR-N-D01,2024Q3,0.4588,moderate,0.8328840970350404,0.0
VR-N-D01-C03,VR-N-D01,2024Q3,0.4326,moderate,0.4582210242587601,0.8013505908835115
VR-N-D02-C01,VR-N-D02,2024Q3,0.3998,moderate,0.8382749326145552,0.7132808103545302
VR-N-D02-C02,VR-N-D02,2024Q3,0.3451,low,0.43665768194070087,0.30810354530106926
VR-N-D02-C03,VR-N-D02,2024Q3,0.383,moderate,0.4797843665768195,0.389420371412493
VR-N-D03-C01,VR-N-D03,2024Q3,0.4612,moderate,0.6469002695417789,0.7135621834552617
VR-N-D03-C02,VR-N-D03,2024Q3,0.2248,low,0.43126684636118595,0.4352841868317389
VR-N-D03-C03,VR-N-D03,2024Q3,0.4564,moderate,0.17789757412398924,0.7535171637591447
VR-N-D04-C01,VR-N-D04,2024Q3,0.509,moderate,0.34501347708894886,0.9769274057400112
VR-N-D04-C02,VR-N-D04,2024Q3,0.4268,moderate,0.39892183288409716,0.11536297129994372
VR-N-D04-C03,VR-N-D04,2024Q3,0.4269,moderate,0.8167115902964961,0.016038266741699503
VR-C-D01-C01,VR-C-D01,2024Q3,0.4134,moderate,0.1455525606469003,0.5883511536297129
VR-C-D01-C02,VR-C-D01,2024Q3,0.444,moderate,0.39892183288409716,0.5644344400675296
VR-C-D01-C03,VR-C-D01,2024Q3,0.3462,low,0.021563342318059318,0.7374788970174452
VR-C-D02-C01,VR-C-D02,2024Q3,0.3943,moderate,0.39892183288409716,0.24001125492402925
VR-C-D02-C02,VR-C-D02,2024Q3,0.4173,moderate,0.018867924528301962,0.877602701181767
VR-C-D02-C03,VR-C-D02,2024Q3,0.3596,moderate,0.013477088948787061,0.3148564997186269
VR-C-D03-C01,VR-C-D03,2024Q3,0.4227,moderate,0.48247978436657674,0.37563308947664603
VR-C-D03-C02,VR-C-D03,2024Q3,0.3839,moderate,0.10242587601078168,0.9997186268992685
VR-C-D03-C03,VR-C-D03,2024Q3,0.4707,moderate,0.4743935309973046,0.49268429938097913
VR-C-D04-C01,VR-C-D04,2024Q3,0.5663,high,1.0,0.5717501406865504
VR-C-D04-C02,VR-C-D04,2024Q3,0.4962,moderate,0.6334231805929919,0.4960607765897581
VR-C-D04-C03,VR-C-D04,2024Q3,0.5281,moderate,0.39892183288409716,0.2431063590320765
VR-S-D01-C01,VR-S-D01,2024Q3,0.4667,moderate,0.169811320754717,0.49268429938097913
VR-S-D01-C02,VR-S-D01,2024Q3,0.3082,low,0.0,0.8708497467642092
VR-S-D01-C03,VR-S-D01,2024Q3,0.3418,low,0.39892183288409716,0.48930782217220037
VR-S-D02-C01,VR-S-D02,2024Q3,0.3172,low,0.1347708894878706,0.9355655599324705
VR-S-D02-C02,VR-S-D02,2024Q3,0.3271,low,0.04851752021563344,1.0
VR-S-D02-C03,VR-S-D02,2024Q3,0.27,low,0.36388140161725063,0.057681485649971886
VR-S-D03-C01,VR-S-D03,2024Q3,0.4284,moderate,0.39892183288409716,0.2549240292628025
VR-S-D03-C02,VR-S-D03,2024Q3,0.3085,low,0.14285714285714288,0.31795160382667415
VR-S-D03-C03,VR-S-D03,2024Q3,0.324,low,0.07547169811320756,0.5922903770399549
VR-S-D04-C01,VR-S-D04,2024Q3,0.3597,moderate,0.536388140161725,0.5424873382104671
VR-S-D04-C02,VR-S-D04,2024Q3,0.3106,low,0.3045822102425876,0.0979178390545864
VR-S-D04-C03,VR-S-D04,2024Q3,0.3338,low,0.7412398921832883,0.029825548677546443
VR-N-D01-C01,VR-N-D01,2024Q4,0.6727,high,1.0,0.34076344385622737
VR-N-D01-C02,VR-N-D01,2024Q4,0.3646,moderate,0.7977272727272727,0.011145165784341052
VR-N-D01-C03,VR-N-D01,2024Q4,0.3642,moderate,0.35454545454545455,0.5643633324045696
VR-N-D02-C01,VR-N-D02,2024Q4,0.5425,moderate,0.634090909090909,0.9813318473112287
VR-N-D02-C02,VR-N-D02,2024Q4,0.3339,low,0.18636363636363634,0.6352744497074394
VR-N-D02-C03,VR-N-D02,2024Q4,0.3301,low,0.4318181818181818,0.043744775703538595
VR-N-D03-C01,VR-N-D03,2024Q4,0.4491,moderate,0.43863636363636355,0.83365840066871
VR-N-D03-C02,VR-N-D03,2024Q4,0.3219,low,0.3409090909090909,0.5709111173028699
VR-N-D03-C03,VR-N-D03,2024Q4,0.2683,low,0.10909090909090903,0.1574254667038172
VR-N-D04-C01,VR-N-D04,2024Q4,0.1391,low,0.15454545454545449,0.014488715519643343
VR-N-D04-C02,VR-N-D04,2024Q4,0.51,moderate,0.2727272727272727,0.5447199777096684
VR-N-D04-C03,VR-N-D04,2024Q4,0.4166,moderate,0.7159090909090909,0.888826971301198
VR-C-D01-C01,VR-C-D01,2024Q4,0.4246,moderate,0.33977272727272717,1.0
VR-C-D01-C02,VR-C-D01,2024Q4,0.4941,moderate,0.23409090909090902,0.9178044023404848
VR-C-D01-C03,VR-C-D01,2024Q4,0.1608,low,0.0,0.20534967957648373
VR-C-D02-C01,VR-C-D02,2024Q4,0.3786,moderate,0.33977272727272717,0.5249373084424631
VR-C-D02-C02,VR-C-D02,2024Q4,0.4707,moderate,0.2772727272727273,0.6517135692393424
VR-C-D02-C03,VR-C-D02,2024Q4,0.4653,moderate,0.35454545454545455,0.9924770130955697
VR-C-D03-C01,VR-C-D03,2024Q4,0.4863,moderate,0.4295454545454545,0.8442463081638338
VR-C-D03-C02,VR-C-D03,2024Q4,0.3531,moderate,0.00909090909090906,0.5643633324045696
VR-C-D03-C03,VR-C-D03,2024Q4,0.4327,moderate,0.3386363636363636,0.5550292560601839
VR-C-D04-C01,VR-C-D04,2024Q4,0.5625,high,0.7704545454545454,0.4856505990526609
VR-C-D04-C02,VR-C-D04,2024Q4,0.341,low,0.459090909090909,0.5643633324045696
VR-C-D04-C03,VR-C-D04,2024Q4,0.4351,moderate,0.33977272727272717,0.10977988297575925
VR-S-D01-C01,VR-S-D01,2024Q4,0.3313,low,0.25,0.0002786291446085201
VR-S-D01-C02,VR-S-D01,2024Q4,0.345,low,0.12727272727272723,0.8551128448035664
VR-S-D01-C03,VR-S-D01,2024Q4,0.2508,low,0.2636363636363636,0.06631373641682922
VR-S-D02-C01,VR-S-D02,2024Q4,0.2449,low,0.22272727272727266,0.793535803845082
VR-S-D02-C02,VR-S-D02,2024Q4,0.2598,low,0.20227272727272724,0.6929506826414042
VR-S-D02-C03,VR-S-D02,2024Q4,0.2799,low,0.18636363636363634,0.1473948174979103
VR-S-D03-C01,VR-S-D03,2024Q4,0.4492,moderate,0.33977272727272717,0.9582056283087211
VR-S-D03-C02,VR-S-D03,2024Q4,0.2193,low,0.3909090909090908,0.0
VR-S-D03-C03,VR-S-D03,2024Q4,0.4069,moderate,0.2136363636363636,0.5578155475062692
VR-S-D04-C01,VR-S-D04,2024Q4,0.4221,moderate,0.4454545454545455,0.9916411256617443
VR-S-D04-C02,VR-S-D04,2024Q4,0.415,moderate,0.5704545454545454,0.6355530788520479
VR-S-D04-C03,VR-S-D04,2024Q4,0.3172,low,0.6749999999999999,0.5643633324045696
