community_code,district_code,period_code,total_population,under5,elderly_65plus,female,male
VR-N-D03-C01,VR-N-D03,2024Q2,1433.0,177,154,721,712
VR-N-D03-C02,VR-N-D03,2024Q2,6709.0,1148,536,3511,3198
VR-N-D03-C03,VR-N-D03,2024Q2,4834.0,536,270,2419,2415
VR-N-D04-C01,VR-N-D04,2024Q2,8355.0,1313,854,4214,4141
VR-N-D04-C02,VR-N-D04,2024Q2,2799.0,341,282,1367,1432
VR-N-D04-C03,VR-N-D04,2024Q2,4304.0,641,390,2152,2152
VR-C-D01-C01,VR-C-D01,2024Q2,2876.0,373,118,1426,1450
VR-C-D01-C02,VR-C-D01,2024Q2,9015.0,1080,860,4482,4533
VR-C-D01-C03,VR-C-D01,2024Q2,8144.0,1351,520,4027,4117
VR-C-D02-C01,VR-C-D02,2024Q2,5471.0,982,368,2872,2599
VR-C-D02-C02,VR-C-D02,2024Q2,3156.0,417,183,1629,1527
VR-C-D02-C03,VR-C-D02,2024Q2,1857.0,240,170,894,963
VR-C-D03-C01,VR-C-D03,2024Q2,,1477,765,4219,4011
VR-C-D03-C02,VR-C-D03,2024Q2,5593.0,804,435,2727,2866
VR-C-D03-C03,VR-C-D03,2024Q2,7604.0,1163,468,3880,3724
VR-C-D04-C01,VR-C-D04,2024Q2,5488.0,600,269,2663,2825
VR-C-D04-C02,VR-C-D04,2024Q2,6021.0,699,579,2978,3043
VR-C-D04-C03,VR-C-D04,2024Q2,3643.0,460,146,1870,1773
VR-S-D01-C01,VR-S-D01,2024Q2,1691.0,181,136,872,819
VR-S-D01-C02,VR-S-D01,2024Q2,5171.0,639,398,2507,2664
VR-S-D01-C03,VR-S-D01,2024Q2,2597.0,324,257,1258,1339
VR-S-D02-C01,VR-S-D02,2024Q2,7942.0,902,544,3985,3957
VR-S-D02-C02,VR-S-D02,2024Q2,5839.0,669,420,3083,2756
VR-S-D02-C03,VR-S-D02,2024Q2,1888.0,286,195,916,972
VR-S-D03-C01,VR-S-D03,2024Q2,3889.0,518,339,2022,1867
VR-S-D03-C02,VR-S-D03,2024Q2,9061.0,926,858,4729,4332
VR-S-D03-C03,VR-S-D03,2024Q2,6714.0,892,293,3310,3404
VR-S-D04-C01,VR-S-D04,2024Q2,1391.0,203,118,735,656
VR-S-D04-C02,VR-S-D04,2024Q2,8630.0,928,802,4249,4381
VR-S-D04-C03,VR-S-D04,2024Q2,1236.0,178,147,596,640
VR-N-D01-C01,VR-N-D01,2024Q3,5526.0,936,254,2788,2738
VR-N-D01-C02,VR-N-D01,2024Q3,5844.0,885,422,2873,2971
VR-N-D01-C03,VR-N-D01,2024Q3,5056.0,686,250,2552,2504
VR-N-D02-C01,VR-N-D02,2024Q3,4189.0,418,198,2137,2052
VR-N-D02-C02,VR-N-D02,2024Q3,8977.0,1379,1041,4472,4505
VR-N-D02-C03,VR-N-D02,2024Q3,3562.0,532,277,1826,1736
VR-N-D03-C01,VR-N-D03,2024Q3,8541.0,1087,908,4511,4030
VR-N-D03-C02,VR-N-D03,2024Q3,2645.0,299,135,1364,1281
VR-N-D03-C03,VR-N-D03,2024Q3,7317.0,1276,522,3679,3638
VR-N-D04-C01,VR-N-D04,2024Q3,6417.0,1117,686,3269,3148
VR-N-D04-C02,VR-N-D04,2024Q3,8728.0,966,697,4420,4308
VR-N-D04-C03,VR-N-D04,2024Q3,2847.0,400,323,1391,1456
VR-C-D01-C01,VR-C-D01,2024Q3,3299.0,488,364,1666,1633
VR-C-D01-C02,VR-C-D01,2024Q3,5521.0,672,646,2917,2604
VR-C-D01-C03,VR-C-D01,2024Q3,7498.0,1198,479,3862,3636
VR-C-D02-C01,VR-C-D02,2024Q3,5695.0,661,512,2816,2879
VR-C-D02-C02,VR-C-D02,2024Q3,1924.0,339,154,990,934
VR-C-D02-C03,VR-C-D02,2024Q3,3267.0,475,305,1636,1631
VR-C-D03-C01,VR-C-D03,2024Q3,8661.0,1426,708,4168,4493
VR-C-D03-C02,VR-C-D03,2024Q3,1409.0,159,88,693,716
VR-C-D03-C03,VR-C-D03,2024Q3,6210.0,637,652,3012,3198
VR-C-D04-C01,VR-C-D04,2024Q3,1726.0,250,101,896,830
VR-C-D04-C02,VR-C-D04,2024Q3,5848.0,766,681,3092,2756
VR-C-D04-C03,VR-C-D04,2024Q3,4294.0,642,440,2247,2047
VR-S-D01-C01,VR-S-D01,2024Q3,6292.0,1009,526,3209,3083
VR-S-D01-C02,VR-S-D01,2024Q3,3171.0,490,174,1549,1622
VR-S-D01-C03,VR-S-D01,2024Q3,6345.0,700,550,3126,3219
VR-S-D02-C01,VR-S-D02,2024Q3,6793.0,854,299,3577,3216
VR-S-D02-C02,VR-S-D02,2024Q3,7200.0,926,739,3570,3630
VR-S-D02-C03,VR-S-D02,2024Q3,4906.0,653,407,2377,2529
VR-S-D03-C01,VR-S-D03,2024Q3,6727.0,790,674,3407,3320
VR-S-D03-C02,VR-S-D03,2024Q3,3523.0,540,266,1850,1673
VR-S-D03-C03,VR-S-D03,2024Q3,4002.0,502,453,2110,1892
VR-S-D04-C01,VR-S-D04,2024Q3,4725.0,783,330,2457,2268
VR-S-D04-C02,VR-S-D04,2024Q3,5882.0,830,681,2872,3010
VR-S-D04-C03,VR-S-D04,2024Q3,5471.0,840,557,2862,2609
VR-N-D01-C01,VR-N-D01,2024Q4,7746.0,1379,790,3968,3778
VR-N-D01-C02,VR-N-D01,2024Q4,7636.0,966,358,3685,3951
VR-N-D01-C03,VR-N-D01,2024Q4,8865.0,1069,629,4534,4331
VR-N-D02-C01,VR-N-D02,2024Q4,4420.0,668,395,2288,2132
VR-N-D02-C02,VR-N-D02,2024Q4,4825.0,523,496,2388,2437
VR-N-D02-C03,VR-N-D02,2024Q4,6439.0,984,501,3262,3177
VR-N-D03-C01,VR-N-D03,2024Q4,6039.0,1067,311,3103,2936
VR-N-D03-C02,VR-N-D03,2024Q4,8125.0,1429,684,4125,4000
VR-N-D03-C03,VR-N-D03,2024Q4,3791.0,666,244,1961,1830
VR-N-D04-C01,VR-N-D04,2024Q4,1849.0,260,97,907,942
VR-N-D04-C02,VR-N-D04,2024Q4,6313.0,1061,682,3324,2989
VR-N-D04-C03,VR-N-D04,2024Q4,4608.0,485,220,2379,2229
VR-C-D01-C01,VR-C-D01,2024Q4,8644.0,933,774,4538,4106
VR-C-D01-C02,VR-C-D01,2024Q4,7478.0,1097,637,3725,3753
VR-C-D01-C03,VR-C-D01,2024Q4,5715.0,672,566,2867,2848
VR-C-D02-C01,VR-C-D02,2024Q4,2640.0,361,181,1307,1333
VR-C-D02-C02,VR-C-D02,2024Q4,5992.0,1010,306,3037,2955
VR-C-D02-C03,VR-C-D02,2024Q4,4755.0,482,383,2289,2466
VR-C-D03-C01,VR-C-D03,2024Q4,7105.0,1024,593,3765,3340
VR-C-D03-C02,VR-C-D03,2024Q4,7265.0,1175,716,3592,3673
VR-C-D03-C03,VR-C-D03,2024Q4,7052.0,1079,760,3669,3383
VR-C-D04-C01,VR-C-D04,2024Q4,6400.0,731,741,3283,3117
VR-C-D04-C02,VR-C-D04,2024Q4,2008.0,235,158,970,1038
VR-C-D04-C03,VR-C-D04,2024Q4,4728.0,609,366,2376,2352
VR-S-D01-C01,VR-S-D01,2024Q4,5080.0,719,540,2650,2430
VR-S-D01-C02,VR-S-D01,2024Q4,4918.0,635,453,2566,2352
VR-S-D01-C03,VR-S-D01,2024Q4,4608.0,590,504,2324,2284
VR-S-D02-C01,VR-S-D02,2024Q4,5169.0,585,238,2647,2522
VR-S-D02-C02,VR-S-D02,2024Q4,4143.0,453,242,2156,1987
VR-S-D02-C03,VR-S-D02,2024Q4,6442.0,727,687,3099,3343
VR-S-D03-C01,VR-S-D03,2024Q4,5241.0,540,449,2530,2711
VR-S-D03-C02,VR-S-D03,2024Q4,6253.0,907,259,3226,3027
VR-S-D03-C03,VR-S-D03,2024Q4,6991.0,1254,764,3415,3576
VR-S-D04-C01,VR-S-D04,2024Q4,8512.0,975,789,4198,4314
VR-S-D04-C02,VR-S-D04,2024Q4,4314.0,510,305,2094,2220
VR-S-D04-C03,VR-S-D04,2024Q4,8204.0,918,391,4133,4071
