facility_code,community_code,district_code,period_code,indicator_code,indicator_name,value,population_at_risk,age_group,reported_at,cases
HF-021,VR-C-D03-C03,VR-C-D03,2024Q1,RESP_ENC_RATE,"Respiratory encounter rate per 1,000",13.73,874,all,2024-03-31,12
HF-022,VR-C-D04-C01,VR-C-D04,2024Q1,RESP_ENC_RATE,"Respiratory encounter rate per 1,000",15.09,4175,all,2024-03-31,63
HF-023,VR-C-D04-C02,VR-C-D04,2024Q1,RESP_ENC_RATE,"Respiratory encounter rate per 1,000",35.71,4760,all,2024-03-31,170
HF-024,VR-C-D04-C03,VR-C-D04,2024Q1,RESP_ENC_RATE,"Respiratory encounter rate per 1,000",14.72,4280,all,2024-03-31,63
HF-025,VR-S-D01-C01,VR-S-D01,2024Q1,RESP_ENC_RATE,"Respiratory encounter rate per 1,000",27.46,3569,all,2024-03-31,98
HF-026,VR-S-D01-C02,VR-S-D01,2024Q1,RESP_ENC_RATE,"Respiratory encounter rate per 1,000",20.81,1778,all,2024-03-31,37
HF-027,VR-S-D01-C03,VR-S-D01,2024Q1,RESP_ENC_RATE,"Respiratory encounter rate per 1,000",18.44,1356,all,2024-03-31,25
HF-028,VR-S-D02-C01,VR-S-D02,2024Q1,RESP_ENC_RATE,"Respiratory encounter rate per 1,000",19.14,1776,all,2024-03-31,34
HF-029,VR-S-D02-C02,VR-S-D02,2024Q1,RESP_ENC_RATE,"Respiratory encounter rate per 1,000",12.72,1729,all,2024-03-31,22
HF-030,VR-S-D02-C03,VR-S-D02,2024Q1,RESP_ENC_RATE,"Respiratory encounter rate per 1,000",31.42,1432,all,2024-03-31,45
HF-031,VR-S-D03-C01,VR-S-D03,2024Q1,RESP_ENC_RATE,"Respiratory encounter rate per 1,000",19.51,3947,age_-5,2024-03-31,77
HF-032,VR-S-D03-C02,VR-S-D03,2024Q1,RESP_ENC_RATE,"Respiratory encounter rate per 1,000",12.62,1268,all,2024-03-31,16
HF-033,VR-S-D03-C03,VR-S-D03,2024Q1,RESP_ENC_RATE,"Respiratory encounter rate per 1,000",33.09,3868,all,2024-03-31,128
HF-034,VR-S-D04-C01,VR-S-D04,2024Q1,RESP_ENC_RATE,"Respiratory encounter rate per 1,000",8.94,4585,all,2024-03-31,41
HF-035,VR-S-D04-C02,VR-S-D04,2024Q1,RESP_ENC_RATE,"Respiratory encounter rate per 1,000",14.0,1429,all,2024-03-31,20
HF-036,VR-S-D04-C03,VR-S-D04,2024Q1,RESP_ENC_RATE,"Respiratory encounter rate per 1,000",12.16,4113,all,2025-02-15,50
HF-001,VR-N-D01-C01,VR-N-D01,2024Q2,RESP_ENC_RATE,"Respiratory encounter rate per 1,000",38.33,2870,all,2025-02-15,110
HF-002,VR-N-D01-C02,VR-N-D01,2024Q2,RESP_ENC_RATE,"Respiratory encounter rate per 1,000",11.74,4514,all,2024-06-30,53
HF-003,VR-N-D01-C03,VR-N-D01,2024Q2,RESP_ENC_RATE,"Respiratory encounter rate per 1,000",24.6,1626,all,2024-06-30,40
HF-004,VR-N-D02-C01,VR-N-D02,2024Q2,RESP_ENC_RATE,"Respiratory encounter rate per 1,000",36.66,2073,all,2024-06-30,76
HF-005,VR-N-D02-C02,VR-N-D02,2024Q2,RESP_ENC_RATE,"Respiratory encounter rate per 1,000",33.9,2478,all,2024-06-30,84
HF-006,VR-N-D02-C03,VR-N-D02,2024Q2,RESP_ENC_RATE,"Respiratory encounter rate per 1,000",15.55,2830,all,2025-02-15,44
HF-007,VR-N-D03-C01,VR-N-D03,2024Q2,RESP_ENC_RATE,"Respiratory encounter rate per 1,000",19.76,4352,all,2024-06-30,86
HF-008,VR-N-D03-C02,VR-N-D03,2024Q2,RESP_ENC_RATE,"Respiratory encounter rate per 1,000",44.37,3223,all,2024-06-30,143
HF-009,VR-N-D03-C03,VR-N-D03,2024Q2,RESP_ENC_RATE,"Respiratory encounter rate per 1,000",41.75,2443,all,2024-06-30,102
HF-010,VR-N-D04-C01,VR-N-D04,2024Q2,RESP_ENC_RATE,"Respiratory encounter rate per 1,000",17.08,4566,all,2024-06-30,78
HF-011,VR-N-D04-C02,VR-N-D04,2024Q2,RESP_ENC_RATE,"Respiratory encounter rate per 1,000",25.96,4392,all,2024-06-30,114
HF-012,VR-N-D04-C03,VR-N-D04,2024Q2,RESP_ENC_RATE,"Respiratory encounter rate per 1,000",31.32,3672,all,2024-06-30,115
HF-013,VR-C-D01-C01,VR-C-D01,2024Q2,RESP_ENC_RATE,"Respiratory encounter rate per 1,000",42.49,4330,age_-5,2024-06-30,184
HF-014,VR-C-D01-C02,VR-C-D01,2024Q2,RESP_ENC_RATE,"Respiratory encounter rate per 1,000",36.14,913,all,2024-06-30,33
HF-015,VR-C-D01-C03,VR-C-D01,2024Q2,RESP_ENC_RATE,"Respiratory encounter rate per 1,000",21.1,4361,all,2025-02-15,92
HF-016,VR-C-D02-C01,VR-C-D02,2024Q2,RESP_ENC_RATE,"Respiratory encounter rate per 1,000",15.56,3598,all,2024-06-30,56
HF-017,VR-C-D02-C02,VR-C-D02,2024Q2,RESP_ENC_RATE,"Respiratory encounter rate per 1,000",28.83,3711,all,2024-06-30,107
HF-018,VR-C-D02-C03,VR-C-D02,2024Q2,RESP_ENC_RATE,"Respiratory encounter rate per 1,000",11.62,1377,all,2024-06-30,16
HF-019,VR-C-D03-C01,VR-C-D03,2024Q2,RESP_ENC_RATE,"Respiratory encounter rate per 1,000",24.3,3951,all,2025-02-15,96
HF-020,VR-C-D03-C02,VR-C-D03,2024Q2,RESP_ENC_RATE,"Respiratory encounter rate per 1,000",12.25,1388,all,2024-06-30,17
HF-021,VR-C-D03-C03,VR-C-D03,2024Q2,RESP_ENC_RATE,"Respiratory encounter rate per 1,000",32.04,874,all,2024-06-30,28
HF-022,VR-C-D04-C01,VR-C-D04,2024Q2,RESP_ENC_RATE,"Respiratory encounter rate per 1,000",22.51,4175,all,2024-06-30,94
HF-023,VR-C-D04-C02,VR-C-D04,2024Q2,RESP_ENC_RATE,"Respiratory encounter rate per 1,000",34.03,4760,all,2025-02-15,162
HF-024,VR-C-D04-C03,VR-C-D04,2024Q2,RESP_ENC_RATE,"Respiratory encounter rate per 1,000",32.94,4280,all,2025-02-15,141
HF-025,VR-S-D01-C01,VR-S-D01,2024Q2,RESP_ENC_RATE,"Respiratory encounter rate per 1,000",23.54,3569,all,2024-06-30,84
HF-026,VR-S-D01-C02,VR-S-D01,2024Q2,RESP_ENC_RATE,"Respiratory encounter rate per 1,000",11.25,1778,all,2024-06-30,20
HF-027,VR-S-D01-C03,VR-S-D01,2024Q2,RESP_ENC_RATE,"Respiratory encounter rate per 1,000",35.4,1356,all,2024-06-30,48
HF-028,VR-S-D02-C01,VR-S-D02,2024Q2,RESP_ENC_RATE,"Respiratory encounter rate per 1,000",7.88,1776,all,2024-06-30,14
HF-029,VR-S-D02-C02,VR-S-D02,2024Q2,RESP_ENC_RATE,"Respiratory encounter rate per 1,000",13.3,1729,all,2024-06-30,23
HF-030,VR-S-D02-C03,VR-S-D02,2024Q2,RESP_ENC_RATE,"Respiratory encounter rate per 1,000",11.17,1432,all,2024-06-30,16
HF-031,VR-S-D03-C01,VR-S-D03,2024Q2,RESP_ENC_RATE,"Respiratory encounter rate per 1,000",19.51,3947,all,2024-06-30,77
HF-032,VR-S-D03-C02,VR-S-D03,2024Q2,RESP_ENC_RATE,"Respiratory encounter rate per 1,000",29.97,1268,all,2024-06-30,38
HF-033,VR-S-D03-C03,VR-S-D03,2024Q2,RESP_ENC_RATE,"Respiratory encounter rate per 1,000",32.32,3868,all,2024-06-30,125
HF-034,VR-S-D04-C01,VR-S-D04,2024Q2,RESP_ENC_RATE,"Respiratory encounter rate per 1,000",18.76,4585,all,2025-02-15,86
HF-035,VR-S-D04-C02,VR-S-D04,2024Q2,RESP_ENC_RATE,"Respiratory encounter rate per 1,000",11.9,1429,all,2024-06-30,17
HF-036,VR-S-D04-C03,VR-S-D04,2024Q2,RESP_ENC_RATE,"Respiratory encounter rate per 1,000",44.49,4113,all,2024-06-30,183
HF-001,VR-N-D01-C01,VR-N-D01,2024Q3,RESP_ENC_RATE,"Respiratory encounter rate per 1,000",21.25,2870,all,2024-09-30,61
HF-002,VR-N-D01-C02,VR-N-D01,2024Q3,RESP_ENC_RATE,"Respiratory encounter rate per 1,000",8.42,4514,all,2025-02-15,38
HF-003,VR-N-D01-C03,VR-N-D01,2024Q3,RESP_ENC_RATE,"Respiratory encounter rate per 1,000",36.9,1626,all,2024-09-30,60
HF-004,VR-N-D02-C01,VR-N-D02,2024Q3,RESP_ENC_RATE,"Respiratory encounter rate per 1,000",33.77,2073,all,2025-02-15,70
HF-005,VR-N-D02-C02,VR-N-D02,2024Q3,RESP_ENC_RATE,"Respiratory encounter rate per 1,000",19.37,2478,all,2024-09-30,48
HF-006,VR-N-D02-C03,VR-N-D02,2024Q3,RESP_ENC_RATE,"Respiratory encounter rate per 1,000",22.26,2830,all,2024-09-30,63
HF-007,VR-N-D03-C01,VR-N-D03,2024Q3,RESP_ENC_RATE,"Respiratory encounter rate per 1,000",33.78,4352,all,2024-09-30,147
HF-008,VR-N-D03-C02,VR-N-D03,2024Q3,RESP_ENC_RATE,"Respiratory encounter rate per 1,000",23.89,3223,all,2024-09-30,77
HF-009,VR-N-D03-C03,VR-N-D03,2024Q3,RESP_ENC_RATE,"Respiratory encounter rate per 1,000",35.2,2443,all,2025-02-15,86
HF-010,VR-N-D04-C01,VR-N-D04,2024Q3,RESP_ENC_RATE,"Respiratory encounter rate per 1,000",43.14,4566,all,2024-09-30,197
HF-011,VR-N-D04-C02,VR-N-D04,2024Q3,RESP_ENC_RATE,"Respiratory encounter rate per 1,000",12.52,4392,all,2024-09-30,55
HF-012,VR-N-D04-C03,VR-N-D04,2024Q3,RESP_ENC_RATE,"Respiratory encounter rate per 1,000",8.99,3672,all,2024-09-30,33
HF-013,VR-C-D01-C01,VR-C-D01,2024Q3,RESP_ENC_RATE,"Respiratory encounter rate per 1,000",29.33,4330,all,2025-02-15,127
HF-014,VR-C-D01-C02,VR-C-D01,2024Q3,RESP_ENC_RATE,"Respiratory encounter rate per 1,000",28.48,913,all,2024-09-30,26
HF-015,VR-C-D01-C03,VR-C-D01,2024Q3,RESP_ENC_RATE,"Respiratory encounter rate per 1,000",34.63,4361,all,2024-09-30,151
HF-016,VR-C-D02-C01,VR-C-D02,2024Q3,RESP_ENC_RATE,"Respiratory encounter rate per 1,000",16.95,3598,all,2024-09-30,61
HF-017,VR-C-D02-C02,VR-C-D02,2024Q3,RESP_ENC_RATE,"Respiratory encounter rate per 1,000",39.61,3711,all,2024-09-30,147
HF-018,VR-C-D02-C03,VR-C-D02,2024Q3,RESP_ENC_RATE,"Respiratory encounter rate per 1,000",19.61,1377,all,2024-09-30,27
HF-019,VR-C-D03-C01,VR-C-D03,2024Q3,RESP_ENC_RATE,"Respiratory encounter rate per 1,000",21.77,3951,all,2024-09-30,86
HF-020,VR-C-D03-C02,VR-C-D03,2024Q3,RESP_ENC_RATE,"Respiratory encounter rate per 1,000",43.95,1388,all,2024-09-30,61
HF-UNKNOWN,VR-C-D03-C03,VR-C-D03,2024Q3,RESP_ENC_RATE,"Respiratory encounter rate per 1,000",38.9,874,all,2024-09-30,34
HF-022,VR-C-D04-C01,VR-C-D04,2024Q3,RESP_ENC_RATE,"Respiratory encounter rate per 1,000",28.74,4175,all,2024-09-30,120
HF-023,VR-C-D04-C02,VR-C-D04,2024Q3,RESP_ENC_RATE,"Respiratory encounter rate per 1,000",26.05,4760,all,2024-09-30,124
HF-024,VR-C-D04-C03,VR-C-D04,2024Q3,RESP_ENC_RATE,"Respiratory encounter rate per 1,000",17.06,4280,all,2025-02-15,73
HF-UNKNOWN,VR-S-D01-C01,VR-S-D01,2024Q3,RESP_ENC_RATE,"Respiratory encounter rate per 1,000",38.95,3569,all,2024-09-30,139
HF-026,VR-S-D01-C02,VR-S-D01,2024Q3,RESP_ENC_RATE,"Respiratory encounter rate per 1,000",39.37,1778,all,2024-09-30,70
HF-027,VR-S-D01-C03,VR-S-D01,2024Q3,RESP_ENC_RATE,"Respiratory encounter rate per 1,000",25.81,1356,all,2025-02-15,35
HF-028,VR-S-D02-C01,VR-S-D02,2024Q3,RESP_ENC_RATE,"Respiratory encounter rate per 1,000",41.67,1776,all,2024-09-30,74
HF-029,VR-S-D02-C02,VR-S-D02,2024Q3,RESP_ENC_RATE,"Respiratory encounter rate per 1,000",43.96,1729,all,2025-02-15,76
HF-030,VR-S-D02-C03,VR-S-D02,2024Q3,RESP_ENC_RATE,"Respiratory encounter rate per 1,000",10.47,1432,all,2024-09-30,15
HF-031,VR-S-D03-C01,VR-S-D03,2024Q3,RESP_ENC_RATE,"Respiratory encounter rate per 1,000",17.48,3947,all,2024-09-30,69
HF-032,VR-S-D03-C02,VR-S-D03,2024Q3,RESP_ENC_RATE,"Respiratory encounter rate per 1,000",19.72,1268,all,2024-09-30,25
HF-033,VR-S-D03-C03,VR-S-D03,2024Q3,RESP_ENC_RATE,"Respiratory encounter rate per 1,000",29.47,3868,all,2024-09-30,114
HF-034,VR-S-D04-C01,VR-S-D04,2024Q3,RESP_ENC_RATE,"Respiratory encounter rate per 1,000",27.7,4585,all,2024-09-30,127
HF-035,VR-S-D04-C02,VR-S-D04,2024Q3,RESP_ENC_RATE,"Respiratory encounter rate per 1,000",11.9,1429,all,2024-09-30,17
HF-036,VR-S-D04-C03,VR-S-D04,2024Q3,RESP_ENC_RATE,"Respiratory encounter rate per 1,000",9.48,4113,all,2024-09-30,39
HF-001,VR-N-D01-C01,VR-N-D01,2024Q4,RESP_ENC_RATE,"Respiratory encounter rate per 1,000",20.91,2870,all,2024-12-31,60
HF-002,VR-N-D01-C02,VR-N-D01,2024Q4,RESP_ENC_RATE,"Respiratory encounter rate per 1,000",9.08,4514,all,2024-12-31,41
HF-UNKNOWN,VR-N-D01-C03,VR-N-D01,2024Q4,RESP_ENC_RATE,"Respiratory encounter rate per 1,000",24.6,1626,all,2024-12-31,40
HF-004,VR-N-D02-C01,VR-N-D02,2024Q4,RESP_ENC_RATE,"Respiratory encounter rate per 1,000",43.9,2073,all,2024-12-31,91
HF-005,VR-N-D02-C02,VR-N-D02,2024Q4,RESP_ENC_RATE,"Respiratory encounter rate per 1,000",31.48,2478,all,2024-12-31,78
HF-006,VR-N-D02-C03,VR-N-D02,2024Q4,RESP_ENC_RATE,"Respiratory encounter rate per 1,000",10.25,2830,all,2024-12-31,29
HF-007,VR-N-D03-C01,VR-N-D03,2024Q4,RESP_ENC_RATE,"Respiratory encounter rate per 1,000",38.6,4352,all,2024-12-31,168
HF-008,VR-N-D03-C02,VR-N-D03,2024Q4,RESP_ENC_RATE,"Respiratory encounter rate per 1,000",29.17,3223,all,2024-12-31,94
HF-009,VR-N-D03-C03,VR-N-D03,2024Q4,RESP_ENC_RATE,"Respiratory encounter rate per 1,000",14.33,2443,all,2024-12-31,35
HF-010,VR-N-D04-C01,VR-N-D04,2024Q4,RESP_ENC_RATE,"Respiratory encounter rate per 1,000",9.2,4566,all,2024-12-31,42
HF-011,VR-N-D04-C02,VR-N-D04,2024Q4,RESP_ENC_RATE,"Respiratory encounter rate per 1,000",28.23,4392,all,2025-02-15,124
HF-012,VR-N-D04-C03,VR-N-D04,2024Q4,RESP_ENC_RATE,"Respiratory encounter rate per 1,000",40.58,3672,all,2024-12-31,149
HF-013,VR-C-D01-C01,VR-C-D01,2024Q4,RESP_ENC_RATE,"Respiratory encounter rate per 1,000",44.57,4330,all,2024-12-31,193
HF-014,VR-C-D01-C02,VR-C-D01,2024Q4,RESP_ENC_RATE,"Respiratory encounter rate per 1,000",41.62,913,all,2024-12-31,38
HF-015,VR-C-D01-C03,VR-C-D01,2024Q4,RESP_ENC_RATE,"Respiratory encounter rate per 1,000",16.05,4361,all,2024-12-31,70
HF-016,VR-C-D02-C01,VR-C-D02,2024Q4,RESP_ENC_RATE,"Respiratory encounter rate per 1,000",27.52,3598,all,2024-12-31,99
HF-017,VR-C-D02-C02,VR-C-D02,2024Q4,RESP_ENC_RATE,"Respiratory encounter rate per 1,000",32.07,3711,all,2024-12-31,119
HF-018,VR-C-D02-C03,VR-C-D02,2024Q4,RESP_ENC_RATE,"Respiratory encounter rate per 1,000",44.3,1377,all,2024-12-31,61
HF-019,VR-C-D03-C01,VR-C-D03,2024Q4,RESP_ENC_RATE,"Respiratory encounter rate per 1,000",38.98,3951,all,2024-12-31,154
HF-020,VR-C-D03-C02,VR-C-D03,2024Q4,RESP_ENC_RATE,"Respiratory encounter rate per 1,000",,1388,all,2024-12-31,46
HF-021,VR-C-D03-C03,VR-C-D03,2024Q4,RESP_ENC_RATE,"Respiratory encounter rate per 1,000",28.6,874,all,2024-12-31,25
HF-022,VR-C-D04-C01,VR-C-D04,2024Q4,RESP_ENC_RATE,"Respiratory encounter rate per 1,000",26.11,4175,all,2024-12-31,109
HF-023,VR-C-D04-C02,VR-C-D04,2024Q4,RESP_ENC_RATE,"Respiratory encounter rate per 1,000",,4760,all,2024-12-31,76
HF-024,VR-C-D04-C03,VR-C-D04,2024Q4,RESP_ENC_RATE,"Respiratory encounter rate per 1,000",12.62,4280,all,2024-12-31,54
HF-025,VR-S-D01-C01,VR-S-D01,2024Q4,RESP_ENC_RATE,"Respiratory encounter rate per 1,000",8.69,3569,all,2024-12-31,31
HF-026,VR-S-D01-C02,VR-S-D01,2024Q4,RESP_ENC_RATE,"Respiratory encounter rate per 1,000",39.37,1778,all,2024-12-31,70
HF-027,VR-S-D01-C03,VR-S-D01,2024Q4,RESP_ENC_RATE,"Respiratory encounter rate per 1,000",11.06,1356,all,2024-12-31,15
HF-028,VR-S-D02-C01,VR-S-D02,2024Q4,RESP_ENC_RATE,"Respiratory encounter rate per 1,000",37.16,1776,all,2024-12-31,66
HF-029,VR-S-D02-C02,VR-S-D02,2024Q4,RESP_ENC_RATE,"Respiratory encounter rate per 1,000",33.55,1729,all,2024-12-31,58
HF-030,VR-S-D02-C03,VR-S-D02,2024Q4,RESP_ENC_RATE,"Respiratory encounter rate per 1,000",13.97,1432,all,2024-12-31,20
HF-031,VR-S-D03-C01,VR-S-D03,2024Q4,RESP_ENC_RATE,"Respiratory encounter rate per 1,000",43.07,3947,all,2024-12-31,170
HF-032,VR-S-D03-C02,VR-S-D03,2024Q4,RESP_ENC_RATE,"Respiratory encounter rate per 1,000",8.68,1268,all,2024-12-31,11
HF-033,VR-S-D03-C03,VR-S-D03,2024Q4,RESP_ENC_RATE,"Respiratory encounter rate per 1,000",28.7,3868,all,2024-12-31,111
HF-034,VR-S-D04-C01,VR-S-D04,2024Q4,RESP_ENC_RATE,"Respiratory encounter rate per 1,000",44.27,4585,all,2024-12-31,203
HF-035,VR-S-D04-C02,VR-S-D04,2024Q4,RESP_ENC_RATE,"Respiratory encounter rate per 1,000",31.49,1429,all,2024-12-31,45
HF-UNKNOWN,VR-S-D04-C03,VR-S-D04,2024Q4,RESP_ENC_RATE,"Respiratory encounter rate per 1,000",10.45,4113,all,2024-12-31,43
