site_code,community_code,district_code,period_code,pollutant,value,unit,sample_date
AQ-001,VR-N-D01-C01,VR-N-D01,2024Q3,PM2.5,56.2,ug/m3,2024-07-01
AQ-001,VR-N-D01-C01,VR-N-D01,2024Q3,NO2,14.3,ug/m3,2024-07-01
AQ-002,VR-N-D01-C02,VR-N-D01,2024Q3,PM2.5,51.3,ug/m3,2024-07-01
AQ-002,VR-N-D01-C02,VR-N-D01,2024Q3,NO2,15.4,ug/m3,2024-07-01
AQ-003,VR-N-D01-C03,VR-N-D01,2024Q3,PM2.5,37.4,ug/m3,2024-07-01
AQ-003,VR-N-D01-C03,VR-N-D01,2024Q3,NO2,16.6,ug/m3,2024-07-01
AQ-004,VR-N-D02-C01,VR-N-D02,2024Q3,PM2.5,51.5,ug/m3,2024-07-01
AQ-004,VR-N-D02-C01,VR-N-D02,2024Q3,NO2,28.3,ug/m3,2024-07-01
AQ-005,VR-N-D02-C02,VR-N-D02,2024Q3,PM2.5,36.6,ug/m3,2024-07-01
AQ-005,VR-N-D02-C02,VR-N-D02,2024Q3,NO2,19.7,ug/m3,2024-07-01
AQ-006,VR-N-D02-C03,VR-N-D02,2024Q3,PM2.5,38.2,ug/m3,2024-07-01
AQ-006,VR-N-D02-C03,VR-N-D02,2024Q3,NO2,28.7,ug/m3,2024-07-01
AQ-007,VR-N-D03-C01,VR-N-D03,2024Q3,PM2.5,44.4,ug/m3,2024-07-01
AQ-007,VR-N-D03-C01,VR-N-D03,2024Q3,NO2,,ug/m3,2024-07-01
AQ-008,VR-N-D03-C02,VR-N-D03,2024Q3,PM2.5,36.4,ug/m3,2024-07-01
AQ-008,VR-N-D03-C02,VR-N-D03,2024Q3,NO2,21.0,ug/m3,2024-07-01
AQ-009,VR-N-D03-C03,VR-N-D03,2024Q3,PM2.5,27.0,ug/m3,2024-07-01
AQ-009,VR-N-D03-C03,VR-N-D03,2024Q3,NO2,26.7,ug/m3,2024-07-01
AQ-010,VR-N-D04-C01,VR-N-D04,2024Q3,PM2.5,33.2,ug/m3,2024-07-01
AQ-010,VR-N-D04-C01,VR-N-D04,2024Q3,NO2,24.6,ug/m3,2024-07-01
AQ-011,VR-N-D04-C02,VR-N-D04,2024Q3,PM2.5,,ug/m3,2024-07-01
AQ-011,VR-N-D04-C02,VR-N-D04,2024Q3,NO2,45.9,ug/m3,2024-07-01
AQ-011,VR-N-D04-C02,VR-N-D04,2024Q3,NO2,45.9,ug/m3,2024-07-01
AQ-012,VR-N-D04-C03,VR-N-D04,2024Q3,PM2.5,50.7,ug/m3,2024-07-01
AQ-012,VR-N-D04-C03,VR-N-D04,2024Q3,NO2,23.5,ug/m3,2024-09-30
AQ-013,VR-C-D01-C01,VR-C-D01,2024Q3,PM2.5,25.8,ug/m3,2024-07-01
AQ-013,VR-C-D01-C01,VR-C-D01,2024Q3,NO2,29.5,ug/m3,2024-09-30
AQ-014,VR-C-D01-C02,VR-C-D01,2024Q3,PM2.5,9999.0,ug/m3,2024-07-01
AQ-014,VR-C-D01-C02,VR-C-D01,2024Q3,NO2,22.9,ug/m3,2024-07-01
AQ-015,VR-C-D01-C03,VR-C-D01,2024Q3,PM2.5,21.2,ug/m3,2024-07-01
AQ-015,VR-C-D01-C03,VR-C-D01,2024Q3,NO2,35.2,ug/m3,2024-07-01
AQ-017,VR-C-D02-C02,VR-C-D02,2024Q3,PM2.5,21.1,ug/m3,2024-07-01
AQ-017,VR-C-D02-C02,VR-C-D02,2024Q3,NO2,33.2,ug/m3,2024-07-01
AQ-018,VR-C-D02-C03,VR-C-D02,2024Q3,PM2.5,20.9,ug/m3,2024-07-01
AQ-018,VR-C-D02-C03,VR-C-D02,2024Q3,NO2,20.1,ug/m3,2024-07-01
AQ-019,VR-C-D03-C01,VR-C-D03,2024Q3,PM2.5,38.3,ug/m3,2024-07-01
AQ-019,VR-C-D03-C01,VR-C-D03,2024Q3,NO2,18.9,ug/m3,2024-07-01
AQ-020,VR-C-D03-C02,VR-C-D03,2024Q3,PM2.5,24.2,ug/m3,2024-09-30
AQ-020,VR-C-D03-C02,VR-C-D03,2024Q3,NO2,15.0,ug/m3,2024-07-01
AQ-021,VR-C-D03-C03,VR-C-D03,2024Q3,PM2.5,38.0,ug/m3,2024-07-01
AQ-021,VR-C-D03-C03,VR-C-D03,2024Q3,NO2,34.0,ug/m3,2024-07-01
AQ-022,VR-C-D04-C01,VR-C-D04,2024Q3,PM2.5,57.5,ug/m3,2024-09-30
AQ-022,VR-C-D04-C01,VR-C-D04,2024Q3,NO2,11.4,ug/m3,2024-07-01
AQ-023,VR-C-D04-C02,VR-C-D04,2024Q3,PM2.5,43.9,ug/m3,2024-07-01
AQ-023,VR-C-D04-C02,VR-C-D04,2024Q3,NO2,15.9,ug/m3,2024-07-01
AQ-025,VR-S-D01-C01,VR-S-D01,2024Q3,PM2.5,26.7,ug/m3,2024-07-01
AQ-025,VR-S-D01-C01,VR-S-D01,2024Q3,NO2,32.6,ug/m3,2024-07-01
AQ-026,VR-S-D01-C02,VR-S-D01,2024Q3,PM2.5,20.4,ug/m3,2024-07-01
AQ-026,VR-S-D01-C02,VR-S-D01,2024Q3,NO2,22.0,ug/m3,2024-07-01
AQ-027,VR-S-D01-C03,VR-S-D01,2024Q3,PM2.5,35.2,ug/m3,2024-07-01
AQ-027,VR-S-D01-C03,VR-S-D01,2024Q3,NO2,26.2,ug/m3,2024-09-30
AQ-028,VR-S-D02-C01,VR-S-D02,2024Q3,PM2.5,25.4,ug/m3,2024-07-01
AQ-028,VR-S-D02-C01,VR-S-D02,2024Q3,NO2,19.1,ug/m3,2024-09-30
AQ-029,VR-S-D02-C02,VR-S-D02,2024Q3,PM2.5,22.2,ug/m3,2024-07-01
AQ-029,VR-S-D02-C02,VR-S-D02,2024Q3,NO2,23.1,ug/m3,2024-07-01
AQ-030,VR-S-D02-C03,VR-S-D02,2024Q3,PM2.5,33.9,ug/m3,2024-07-01
AQ-030,VR-S-D02-C03,VR-S-D02,2024Q3,NO2,34.0,ug/m3,2024-09-30
AQ-032,VR-S-D03-C02,VR-S-D03,2024Q3,PM2.5,25.7,ug/m3,2024-07-01
AQ-032,VR-S-D03-C02,VR-S-D03,2024Q3,NO2,16.3,ug/m3,2024-07-01
AQ-033,VR-S-D03-C03,VR-S-D03,2024Q3,PM2.5,23.2,ug/m3,2024-07-01
AQ-033,VR-S-D03-C03,VR-S-D03,2024Q3,NO2,30.8,ug/m3,2024-07-01
AQ-034,VR-S-D04-C01,VR-S-D04,2024Q3,PM2.5,40.3,ug/m3,2024-07-01
AQ-034,VR-S-D04-C01,VR-S-D04,2024Q3,NO2,33.7,ug/m3,2024-07-01
AQ-035,VR-S-D04-C02,VR-S-D04,2024Q3,PM2.5,31.7,ug/m3,2024-07-01
AQ-035,VR-S-D04-C02,VR-S-D04,2024Q3,NO2,22.0,ug/m3,2024-09-30
AQ-036,VR-S-D04-C03,VR-S-D04,2024Q3,PM2.5,47.9,ug/m3,2024-07-01
AQ-036,VR-S-D04-C03,VR-S-D04,2024Q3,NO2,,ug/m3,2024-07-01
AQ-001,VR-N-D01-C01,VR-N-D01,2024Q4,PM2.5,62.1,ug/m3,2024-10-01
AQ-001,VR-N-D01-C01,VR-N-D01,2024Q4,NO2,13.1,ug/m3,2024-10-01
AQ-002,VR-N-D01-C02,VR-N-D01,2024Q4,PM2.5,53.2,ug/m3,2024-10-01
AQ-002,VR-N-D01-C02,VR-N-D01,2024Q4,NO2,16.2,ug/m3,2024-10-01
AQ-003,VR-N-D01-C03,VR-N-D01,2024Q4,PM2.5,33.7,ug/m3,2024-10-01
AQ-003,VR-N-D01-C03,VR-N-D01,2024Q4,NO2,23.0,ug/m3,2024-10-01
AQ-004,VR-N-D02-C01,VR-N-D02,2024Q4,PM2.5,46.0,ug/m3,2024-10-01
AQ-004,VR-N-D02-C01,VR-N-D02,2024Q4,NO2,20.8,ug/m3,2024-10-01
AQ-004,VR-N-D02-C01,VR-N-D02,2024Q4,NO2,20.8,ug/m3,2024-10-01
AQ-005,VR-N-D02-C02,VR-N-D02,2024Q4,PM2.5,26.3,ug/m3,2024-10-01
AQ-005,VR-N-D02-C02,VR-N-D02,2024Q4,NO2,16.1,ug/m3,2024-10-01
AQ-006,VR-N-D02-C03,VR-N-D02,2024Q4,PM2.5,37.1,ug/m3,2024-10-01
AQ-006,VR-N-D02-C03,VR-N-D02,2024Q4,NO2,9999.0,ug/m3,2024-10-01
AQ-007,VR-N-D03-C01,VR-N-D03,2024Q4,PM2.5,37.4,ug/m3,2024-10-01
AQ-007,VR-N-D03-C01,VR-N-D03,2024Q4,NO2,44.7,ug/m3,2024-10-01
AQ-008,VR-N-D03-C02,VR-N-D03,2024Q4,PM2.5,33.1,ug/m3,2024-10-01
AQ-008,VR-N-D03-C02,VR-N-D03,2024Q4,NO2,24.5,ug/m3,2024-10-01
AQ-009,VR-N-D03-C03,VR-N-D03,2024Q4,PM2.5,22.9,ug/m3,2024-12-31
AQ-009,VR-N-D03-C03,VR-N-D03,2024Q4,NO2,36.1,ug/m3,2024-10-01
AQ-010,VR-N-D04-C01,VR-N-D04,2024Q4,PM2.5,24.9,ug/m3,2024-10-01
AQ-010,VR-N-D04-C01,VR-N-D04,2024Q4,NO2,18.1,ug/m3,2024-10-01
AQ-011,VR-N-D04-C02,VR-N-D04,2024Q4,PM2.5,30.1,ug/m3,2024-12-31
AQ-011,VR-N-D04-C02,VR-N-D04,2024Q4,NO2,35.0,ug/m3,2024-10-01
AQ-012,VR-N-D04-C03,VR-N-D04,2024Q4,PM2.5,49.6,ug/m3,2024-10-01
AQ-012,VR-N-D04-C03,VR-N-D04,2024Q4,NO2,17.9,ug/m3,2024-10-01
AQ-013,VR-C-D01-C01,VR-C-D01,2024Q4,PM2.5,,ug/m3,2024-10-01
AQ-013,VR-C-D01-C01,VR-C-D01,2024Q4,NO2,28.4,ug/m3,2024-10-01
AQ-014,VR-C-D01-C02,VR-C-D01,2024Q4,PM2.5,28.4,ug/m3,2024-10-01
AQ-014,VR-C-D01-C02,VR-C-D01,2024Q4,NO2,,ug/m3,2024-12-31
AQ-015,VR-C-D01-C03,VR-C-D01,2024Q4,PM2.5,18.1,ug/m3,2024-10-01
AQ-015,VR-C-D01-C03,VR-C-D01,2024Q4,NO2,,ug/m3,2024-10-01
AQ-017,VR-C-D02-C02,VR-C-D02,2024Q4,PM2.5,30.3,ug/m3,2024-10-01
AQ-017,VR-C-D02-C02,VR-C-D02,2024Q4,NO2,36.0,ug/m3,2024-10-01
AQ-018,VR-C-D02-C03,VR-C-D02,2024Q4,PM2.5,33.7,ug/m3,2024-10-01
AQ-018,VR-C-D02-C03,VR-C-D02,2024Q4,NO2,24.6,ug/m3,2024-10-01
AQ-019,VR-C-D03-C01,VR-C-D03,2024Q4,PM2.5,37.0,ug/m3,2024-10-01
AQ-019,VR-C-D03-C01,VR-C-D03,2024Q4,NO2,19.1,ug/m3,2024-10-01
AQ-020,VR-C-D03-C02,VR-C-D03,2024Q4,PM2.5,18.5,ug/m3,2024-10-01
AQ-020,VR-C-D03-C02,VR-C-D03,2024Q4,NO2,8.8,ug/m3,2024-10-01
AQ-021,VR-C-D03-C03,VR-C-D03,2024Q4,PM2.5,33.0,ug/m3,2024-12-31
AQ-021,VR-C-D03-C03,VR-C-D03,2024Q4,NO2,40.7,ug/m3,2024-10-01
AQ-022,VR-C-D04-C01,VR-C-D04,2024Q4,PM2.5,52.0,ug/m3,2024-10-01
AQ-022,VR-C-D04-C01,VR-C-D04,2024Q4,NO2,16.4,ug/m3,2024-10-01
AQ-023,VR-C-D04-C02,VR-C-D04,2024Q4,PM2.5,38.3,ug/m3,2024-10-01
AQ-023,VR-C-D04-C02,VR-C-D04,2024Q4,NO2,12.0,ug/m3,2024-10-01
AQ-025,VR-S-D01-C01,VR-S-D01,2024Q4,PM2.5,29.1,ug/m3,2024-10-01
AQ-025,VR-S-D01-C01,VR-S-D01,2024Q4,NO2,39.6,ug/m3,2024-10-01
AQ-026,VR-S-D01-C02,VR-S-D01,2024Q4,PM2.5,23.7,ug/m3,2024-10-01
AQ-026,VR-S-D01-C02,VR-S-D01,2024Q4,PM2.5,23.7,ug/m3,2024-10-01
AQ-026,VR-S-D01-C02,VR-S-D01,2024Q4,NO2,,ug/m3,2099-01-01
AQ-027,VR-S-D01-C03,VR-S-D01,2024Q4,PM2.5,29.7,ug/m3,2024-10-01
AQ-027,VR-S-D01-C03,VR-S-D01,2024Q4,NO2,20.6,ug/m3,2024-10-01
AQ-028,VR-S-D02-C01,VR-S-D02,2024Q4,PM2.5,27.9,ug/m3,2024-10-01
AQ-028,VR-S-D02-C01,VR-S-D02,2024Q4,NO2,11.9,ug/m3,2024-12-31
AQ-029,VR-S-D02-C02,VR-S-D02,2024Q4,PM2.5,27.0,ug/m3,2024-12-31
AQ-029,VR-S-D02-C02,VR-S-D02,2024Q4,NO2,33.8,ug/m3,2024-10-01
AQ-030,VR-S-D02-C03,VR-S-D02,2024Q4,PM2.5,26.3,ug/m3,2024-10-01
AQ-030,VR-S-D02-C03,VR-S-D02,2024Q4,NO2,27.5,ug/m3,2024-10-01
AQ-032,VR-S-D03-C02,VR-S-D03,2024Q4,PM2.5,35.3,ug/m3,2024-10-01
AQ-032,VR-S-D03-C02,VR-S-D03,2024Q4,NO2,15.8,ug/m3,2024-12-31
AQ-033,VR-S-D03-C03,VR-S-D03,2024Q4,PM2.5,27.5,ug/m3,2024-12-31
AQ-033,VR-S-D03-C03,INVALID,2024Q4,NO2,25.7,ug/m3,2024-10-01
AQ-034,VR-S-D04-C01,VR-S-D04,2024Q4,PM2.5,37.7,ug/m3,2024-10-01
AQ-034,VR-S-D04-C01,VR-S-D04,2024Q4,NO2,33.1,ug/m3,2024-10-01
AQ-035,VR-S-D04-C02,VR-S-D04,2024Q4,PM2.5,43.2,ug/m3,2024-10-01
